# Time-averaged data for fix scalarOut
# TimeStep v_Dtwopoint v_DmolTwopoint v_DxMolTwopoint v_DyMolTwopoint v_DzMolTwopoint v_Dfitslope v_DmolFitslope v_DxMolFitslope v_DyMolFitslope v_DzMolFitslope v_Dvacf v_Dxvacf v_Dyvacf v_Dzvacf
580 0.000300821 2.86664e-05 1.395e-05 6.32828e-05 8.76643e-06 0.000201447 2.72439e-05 3.23917e-05 3.77366e-05 1.16034e-05 -0.00049135 -0.0017367 0.000355689 -9.30379e-05
590 0.000313963 2.87217e-05 1.60235e-05 5.93688e-05 1.07727e-05 0.000205028 2.72888e-05 3.18104e-05 3.85142e-05 1.15416e-05 -0.000413643 -0.00201219 0.00043788 0.000333383
600 0.000315784 2.96489e-05 1.78661e-05 5.76435e-05 1.34372e-05 0.000208742 2.73504e-05 3.13227e-05 3.91639e-05 1.15648e-05 -0.00049895 -0.00223592 0.000598428 0.000140645
610 0.000314113 3.07297e-05 1.87063e-05 5.80004e-05 1.54823e-05 0.000212151 2.74434e-05 3.09053e-05 3.97602e-05 1.16648e-05 -0.000542975 -0.00227775 0.00063234 1.64866e-05
620 0.000306374 3.14938e-05 1.71323e-05 6.09823e-05 1.63668e-05 0.000215177 2.75619e-05 3.04922e-05 4.03894e-05 1.18041e-05 -0.000547154 -0.00214767 0.000841486 -0.00033528
630 0.000284681 3.1602e-05 1.3835e-05 6.46043e-05 1.63667e-05 0.000217662 2.76871e-05 3.00174e-05 4.10945e-05 1.19494e-05 -0.000629776 -0.00204746 0.000729266 -0.000571135
640 0.000263888 3.12148e-05 9.90006e-06 6.80778e-05 1.56667e-05 0.000219351 2.78033e-05 2.9449e-05 4.18855e-05 1.20754e-05 -0.000533736 -0.00164821 0.000881452 -0.000834445
650 0.000253296 3.00182e-05 6.43664e-06 6.93439e-05 1.4274e-05 0.000220538 2.78869e-05 2.87923e-05 4.27057e-05 1.21628e-05 -0.000615098 -0.00160035 0.000522824 -0.000767765
660 0.000247313 2.89458e-05 3.88552e-06 7.02367e-05 1.27152e-05 0.000221451 2.79317e-05 2.80771e-05 4.35184e-05 1.21996e-05 -0.000532896 -0.00137993 0.000673363 -0.000892119
670 0.000238423 2.75567e-05 1.85496e-06 6.93444e-05 1.14709e-05 0.000222153 2.79402e-05 2.7327e-05 4.42995e-05 1.21941e-05 -0.000388349 -0.00138882 0.000713244 -0.000489469
680 0.000238415 2.56382e-05 6.88372e-07 6.62443e-05 9.9818e-06 0.000222583 2.78985e-05 2.65632e-05 4.49816e-05 1.21507e-05 -0.000498867 -0.00187882 0.000996574 -0.000614352
