# Time-averaged data for fix thermoAveOut
# TimeStep c_thermo_pe c_thermo_temp c_thermo_press
31900 -6487.58 333.932 -69.5119
32000 -6501.85 343.051 -1425.73
32100 -6492.41 337.001 -1056.91
32200 -6502.01 343.161 -921.939
32300 -6493.76 337.875 -1594.57
32400 -6503.08 343.839 -1818.08
32500 -6490.13 335.58 -1852.43
32600 -6496.95 339.942 -514.87
32700 -6496.37 339.57 -579.116
32800 -6500.62 342.259 -1013.98
32900 -6505.4 345.299 -345.454
33000 -6494.58 338.368 -422.744
33100 -6493.68 337.798 -1528.49
33200 -6502.79 343.612 -2551.66
33300 -6491.07 336.117 -2497.14
33400 -6480.88 329.612 -1058.73
33500 -6498.14 340.653 -304.977
33600 -6504.12 344.48 -1546.03
33700 -6491.78 336.598 -341.648
33800 -6500.61 342.279 -116.38
33900 -6500.13 341.933 479.097
34000 -6499.16 341.34 106.203
34100 -6505.77 345.544 596.366
34200 -6501.91 343.089 -507.229
34300 -6501.79 342.999 -293.176
34400 -6500.94 342.44 550.82
34500 -6493.32 337.573 -972.999
34600 -6489.44 335.055 -1345.28
34700 -6498.96 341.194 113.563
34800 -6487.51 333.875 512.141
34900 -6490.87 336.023 116.05
35000 -6486.17 332.986 -57.168
35100 -6489.54 335.17 -928.555
35200 -6496.31 339.513 -137.166
35300 -6492.63 337.16 1524.46
35400 -6496.49 339.645 -468.626
35500 -6475.81 326.375 -2954.91
35600 -6501.97 343.133 -1722.05
35700 -6509.29 347.811 558.157
35800 -6500.16 341.953 -530.172
35900 -6493.47 337.682 -270.884
36000 -6499.75 341.694 1078.64
36100 -6502.24 343.309 -1002.79
36200 -6496.37 339.535 -2133.3
36300 -6502.37 343.381 -507.741
36400 -6502.99 343.788 600.899
36500 -6490.95 336.073 72.2014
36600 -6495.73 339.162 -763.57
36700 -6485.72 332.728 -1125.64
36800 -6501.88 343.071 -202.82
36900 -6491.77 336.614 -646.998
37000 -6501.54 342.826 -860.343
37100 -6486.92 333.506 -1604.43
37200 -6498.26 340.783 -362.447
